place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
제주오누이,"['전복', '솥밥', '고등어', '구이', '친절']",0,0,0,2,0,0,0,0,0
성산흑돼지두루치기,"['친절', '인분', '사장', '가격', '맛집']",0,0,0,1,0,0,0,0,0
삼다도횟집 본점,"['간장', '게장', '서비스', '음식', '매운탕']",0,0,0,1,0,0,0,0,0
귤품은흑돼지 제주공항점,"['돼지', '고기', '무한', '리필', '계란찜']",2,0,0,16,0,0,0,0,0
원조마라도짜장면집,"['짜장면', '짬뽕', '마라도', '원조', '무한도전']",0,0,0,4,0,0,0,0,0
돈사돈 월정점,"['고기', '돼지', '사돈', '직원', '친절']",0,0,0,8,0,0,0,2,0
동복뚝배기,"['뚝배기', '전복', '친절', '갈치', '직원']",0,0,0,4,0,0,0,0,0
오전열한시,"['전복', '동치미', '국수', '새우', '간장']",0,0,0,4,0,0,0,0,0
회춘,"['고등어', '고기', '김치', '친절', '음식']",0,0,0,6,0,0,0,0,0
종달수다뜰,"['갈치', '전복', '구이', '당근', '솥밥']",0,0,0,8,0,0,0,0,0
애월연어,"['연어', '친절', '사장', '초밥', '음식']",0,0,0,7,0,0,0,1,0
교래흑돼지 본점,"['고기', '친절', '사장', '돼지', '직원']",0,0,0,7,0,0,0,0,0
바로족발보쌈,"['족발', '고기', '반반', '보쌈', '건지']",0,0,0,1,0,0,0,0,0
도민상회,"['고기', '돼지', '양념', '친절', '맛집']",0,0,0,16,0,0,0,0,0
뜰에,"['갈치', '조림', '친절', '구이', '반찬']",0,0,0,3,0,0,0,0,0
제일수산횟집,"['고등어', '친절', '조림', '사장', '최고']",0,0,0,5,0,0,0,0,0
삼대전통고기국수,"['고기국수', '고기', '국밥', '김치', '국수']",0,0,0,0,0,0,0,0,0
대춘해장국 노형점,"['장탕', '해장국', '국물', '맛집', '최고']",0,0,0,0,0,0,0,0,0
장모식탁,"['솥밥', '전복', '반찬', '찌개', '정식']",0,0,0,3,0,0,0,0,0
수영밥상 본점,"['고사리', '육개장', '반찬', '음식', '친절']",0,0,0,5,0,0,0,0,0
탐라가든,"['갈비', '고기', '맛집', '양념', '방문']",0,0,0,0,0,0,0,0,0
달이뜨는식탁,"['파스타', '맛집', '딱새', '돼지', '방문']",1,0,0,28,0,0,0,0,0
맨도롱 해장국,"['친절', '반찬', '음식', '이국', '손님']",0,0,0,11,0,0,0,0,0
섬소나이,"['우도', '피자', '짬뽕', '해산물', '크림']",0,0,0,10,0,0,0,0,0
제주선채향,"['칼국수', '전복', '전복죽', '사장', '친절']",0,0,0,26,0,0,0,0,0
흑돼지제주정,"['친절', '고기', '직원', '돼지', '사장']",0,0,0,1,0,0,0,0,0
참맛나김밥,"['김밥', '무국', '최고', '가격', '열무']",0,0,0,2,0,0,0,0,0
그리운바다 성산포,"['고등어', '갈치', '친절', '조림', '구이']",0,0,0,9,0,0,0,0,0
담다,"['칼국수', '매생이', '말죽', '김치', '전복']",1,0,0,2,0,0,0,0,0
희야국수,"['고기국수', '비빔국수', '국수', '고기', '족발']",0,0,0,1,0,0,0,0,0
까망돼지 서귀포점,"['고기', '돼지', '친절', '식사', '직원']",0,0,0,4,0,0,0,0,0
중문신라원,"['말고기', '해물', '뚝배기', '가격', '맛집']",0,0,0,0,0,0,0,0,0
스시도모다찌 칠성점,"['초밥', '성비', '친절', '가격', '추천']",0,0,0,11,0,0,0,0,0
