place,address
커핏,제주특별자치도 서귀포시 칠십리로658번길 27-13
어반정글그레이밤부,제주특별자치도 제주시 조천읍 일주동로 1611 1층
슬로보트 아뜰리에,제주특별자치도 제주시 애월읍 하귀2길 46-16
윤재커피,제주특별자치도 제주시 중앙로12길 1
니나수족욕카페,제주특별자치도 서귀포시 안덕면 대평로 29
니모스토리,제주특별자치도 제주시 구좌읍 김녕로17길 33-1 1층
로스트&헤븐,제주특별자치도 제주시 테우해안로 162 1층
카페책자국,제주특별자치도 제주시 구좌읍 종달로1길 117
꽁떼네도르,제주특별자치도 서귀포시 1100로 219 1층
카페 오놀,제주특별자치도 서귀포시 대포로 174 2층
식빵가게,제주특별자치도 제주시 월성로10길 1 1층
토토네,제주특별자치도 제주시 애월읍 하귀10길 49-2 수지빌 1층 102호
화수목,제주특별자치도 제주시 구좌읍 해맞이해안로 1028 1층
베터플랫,제주특별자치도 제주시 탑동해안로 74 1층
안녕토르,제주특별자치도 제주시 조천읍 선진길 7-19 1층
토끼썸,제주특별자치도 제주시 구좌읍 해맞이해안로 1860
오후다섯시 두가지착각 조차도,"제주특별자치도 제주시 조천읍 조함해안로 273-37 오후다섯시, 두가지착각, 조차도"
카페이시도르,제주특별자치도 제주시 한림읍 금악북로 353 1층
에이바우트커피 삼무공원점,제주특별자치도 제주시 신광로 20
관심사,제주특별자치도 제주시 중앙로 77 지하1층
게우지코지인갤러리 커피하우스,제주특별자치도 서귀포시 보목포로 179
왓섬,제주특별자치도 제주시 오등4길 3
페어리제주,제주특별자치도 제주시 구좌읍 해맞이해안로 1486
폴바셋 제주아라DT점,제주특별자치도 제주시 중앙로 393
해거름전망대카페,제주특별자치도 제주시 한경면 판포리 1608
주네가네 키친앤카페,제주특별자치도 제주시 구좌읍 행원로7길 23-6
픽스커피 화북공단점,제주특별자치도 제주시 청풍남8길 55
술의식물원,제주특별자치도 제주시 구좌읍 중산간동로 2253
88로스터즈,제주특별자치도 제주시 금산5길 35-1 1층
플레이커피랩,제주특별자치도 서귀포시 서문로28번길 2 1층
오르바,제주특별자치도 서귀포시 보목포로 78
바미아일랜드,제주특별자치도 제주시 구좌읍 해맞이해안로 474-1 1층
보라지붕,제주특별자치도 제주시 조천읍 함덕19길 6
폴바셋 제주용담DT점,제주특별자치도 제주시 서해안로 442-1
커피가게쉬고가게,제주특별자치도 서귀포시 표선면 민속해안로 593 커피가게쉬고가게
카페쌀쌀,제주특별자치도 제주시 애월읍 신엄로 51
초가헌,제주특별자치도 서귀포시 표선면 중산간동로 4628
도리화과,제주특별자치도 제주시 아연로 194 1층
카페정관헌,제주특별자치도 제주시 박성내서길 6 1층
간세다리족욕카페,제주특별자치도 서귀포시 중정로 17-1 2층
잔디공장,제주특별자치도 서귀포시 성산읍 일주동로5154번길 5
카페사우다드,제주특별자치도 서귀포시 대정읍 하모이삼로51번길 28
유티피커피,제주특별자치도 제주시 고마로 136 은경빌딩 2층
제주소담,제주특별자치도 서귀포시 막숙포로 150 2층
우연못,제주특별자치도 제주시 은수길 110 2층
가파도봄날에,제주특별자치도 서귀포시 대정읍 가파로67번길 47-2
이스틀리,제주특별자치도 서귀포시 성산읍 산성효자로114번길 131-1 미래동 2층
블라썸1407,제주특별자치도 제주시 애월읍 고하상로 103
다카포카페,"제주특별자치도 서귀포시 표선면 표선백사로110번길 6 1, 2층"
카페단단,제주특별자치도 제주시 관덕로4길 1-6
커피동굴,제주특별자치도 제주시 사라봉길 5 지하1층
카페지니,제주특별자치도 서귀포시 남원읍 공천포로11번길 19
레드브라운,제주특별자치도 서귀포시 안덕면 난드르로 49-50 해녀회관 2층
어글리딜리셔스,제주특별자치도 제주시 구남동2길 19-8
딜레탕트,"제주특별자치도 제주시 조천읍 신북로 144 1,2층"
감따남,제주특별자치도 서귀포시 월산로 16
종달리746,제주특별자치도 제주시 구좌읍 종달동길 29-9 1층
해비치불턱,제주특별자치도 서귀포시 표선면 민속해안로 384
목장카페 밭디,제주특별자치도 서귀포시 표선면 번영로 2486 목장카페 밭디
리치망고 쇠소깍점,제주특별자치도 서귀포시 쇠소깍로 164
바다는안보여요,제주특별자치도 제주시 구좌읍 종달로5길 31-1
플라이오조,제주특별자치도 서귀포시 성산읍 오조로85번길 44
안녕구움,제주특별자치도 제주시 한경면 고산로 49 1층
나비정원,제주특별자치도 서귀포시 대정읍 신영로 60-7
아뽀밍고,제주특별자치도 서귀포시 성산읍 일출로 230
논짓물해수족욕카페,제주특별자치도 서귀포시 논짓물로 13
페이보리오리,제주특별자치도 서귀포시 효돈순환로 252
슈가탱크,제주특별자치도 제주시 우도면 우도봉길 41
할로비치 본점,제주특별자치도 제주시 한경면 녹차분재로 354
고도,제주특별자치도 제주시 어영길 15 1층
산노루,제주특별자치도 제주시 한경면 낙원로 32
팡송,제주특별자치도 서귀포시 남원읍 태위로115번길 1
초이당,제주특별자치도 서귀포시 남원읍 남태해안로 259
따소롬,제주특별자치도 제주시 구좌읍 월정1길 72-1 1층
유람위드북스,제주특별자치도 제주시 한경면 조수동2길 54-36
카페 세러데이아일랜드,제주특별자치도 서귀포시 남원읍 남한로21번길 28 1층
무상찻집 (휴업중),제주특별자치도 제주시 서광로5길 10
소길다방,제주특별자치도 제주시 애월읍 소길2길 45-3 1층
제주몽,제주특별자치도 서귀포시 천제연로 194
카페을리,제주특별자치도 서귀포시 안덕면 병악로 90
에이바우트커피 종합청사점,제주특별자치도 제주시 청사로 79 1층
나이체,제주특별자치도 제주시 인다6길 35 1층
에이바우트커피 올레시장점,제주특별자치도 서귀포시 중정로62번길 4
제주기와,제주특별자치도 제주시 애월읍 광령남4길 45-1 1층
카페 가드니아,제주특별자치도 서귀포시 표선면 표선동서로 151
헤이피피,제주특별자치도 제주시 한경면 일주서로 4533-3
카페물결,제주특별자치도 제주시 사라봉동길 108-1
제3공간,제주특별자치도 제주시 연화중길 21 1층
제대가는길,제주특별자치도 제주시 제주대학로 75-1
일월선셋비치,제주특별자치도 제주시 애월읍 애월북서길 56-1
오드랑베이커리,제주특별자치도 제주시 조천읍 조함해안로 552-3 1층
애월빵공장앤카페,제주특별자치도 제주시 애월읍 금성5길 42-15 1층
하멜,제주특별자치도 제주시 노형2길 51-3
빵귿,제주특별자치도 제주시 구남동6길 45-1 1층
덕인당보리빵,제주특별자치도 제주시 조천읍 신북로 36
보래드베이커스,제주특별자치도 서귀포시 보목로64번길 178 호텔서귀피안 1층
다니쉬,"제주특별자치도 제주시 조천읍 함덕16길 56 1, 2층"
아베베베이커리,제주특별자치도 제주시 동문로6길 4 1층
해비치호텔앤드리조트 마고,제주특별자치도 서귀포시 표선면 민속해안로 537 1층
벨룸리조트 카페,제주특별자치도 서귀포시 516로277번길 45
프랑제리 켄싱턴리조트 중문점,제주특별자치도 서귀포시 중문관광로72번길 29-29 3층
더벤티 해비치리조트점,제주특별자치도 서귀포시 표선면 민속해안로 577 1층
호텔샌드,제주특별자치도 제주시 한림읍 한림로 339
해비치호텔앤드리조트 마고,제주특별자치도 서귀포시 표선면 민속해안로 537 1층
제주신라호텔 바당,제주특별자치도 서귀포시 중문관광로72번길 75 제주신라호텔 6층
