,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
185,색달로망스,4.8,29,"2,395","['방문자리뷰 216', '블로그리뷰 133', '베리인둘세', '주문제작 홀케이크', '아메리카노', '색달에이드']",4.64
186,카페두가시,4.7,39,"3,539","['방문자리뷰 177', '블로그리뷰 194', '아메리카노', '달고나라떼(커피브륄레)', '제주당근 피스케이크', '바냐냐케이크']",4.56
187,카페2472,4.7,42,939,"['방문자리뷰 182', '블로그리뷰 298']",4.48
188,"오른(orrrn,오알엔)",4.1,64,0,a,0.0
189,살롱드라방,3.9,42,"24,622","['방문자리뷰 305', '블로그리뷰 883', '에스프레소', '아메리카노', '카페라떼', 'PAN또아']",4.63
190,노을리카페,3.7,53,"3,700","['방문자리뷰 1,886', '블로그리뷰 662']",4.64
191,모찌롱(휴업중),4.1,17,0,a,0.0
192,카페오드리,4.5,31,"3,826","['방문자리뷰 148', '블로그리뷰 254']",0.0
193,블루모모,4.1,21,"1,788","['방문자리뷰 144', '블로그리뷰 146', '아메리카노']",4.67
194,카페훤,4.3,74,"2,013","['방문자리뷰 302', '블로그리뷰 186']",4.45
195,카페살레,4.7,82,"2,594","['방문자리뷰 943', '블로그리뷰 398']",4.55
196,오늘도화창,4.9,49,"5,993","['방문자리뷰 353', '블로그리뷰 384']",4.63
197,제주몹시,4.5,20,"2,079","['방문자리뷰 245', '블로그리뷰 444', '메뉴판 전체보기']",4.54
198,카페송키,4.4,34,"2,833","['방문자리뷰 111', '블로그리뷰 187']",0.0
199,리치망고애월본점,3.8,61,751,"['방문자리뷰 1,845', '블로그리뷰 666', '스페셜망고쉐이크', '코코넛애플망고쉐이크', '올인원망고쉐이크', '망고라쉬']",4.46
200,에이바우트커피신라신성점,4.4,18,0,"['방문자리뷰 1,146', '블로그리뷰 47']",4.48
201,위더스트래블아라점,3.6,18,177,"['방문자리뷰 305', '블로그리뷰 233', '메뉴판 전체보기']",0.0
202,투썸플레이스제주애월한담점,3.7,49,121,"['방문자리뷰 3,866', '블로그리뷰 232']",4.33
203,쉬리니케이크,4.6,67,"3,974","['방문자리뷰 248', '블로그리뷰 160']",4.61
204,소보리당로222,4.3,29,"6,262","['방문자리뷰 296', '블로그리뷰 439', '노키즈존 입니다(adult only)', '1팀당 최대 4인까지 수용가능']",4.7
205,픽스커피본점,4.2,35,0,a,0.0
206,카페곁에,4.6,46,"2,989","['방문자리뷰 72', '블로그리뷰 236']",4.69
207,어니스트밀크본점,4.7,78,554,"['방문자리뷰 910', '블로그리뷰 478']",4.62
208,카페월령,4.2,26,"3,083",a,0.0
209,비자블라썸,4.6,55,"2,055","['방문자리뷰 480', '블로그리뷰 211']",4.6
210,블루마운틴4255,3.7,13,126,a,0.0
211,토끼문,4.6,47,"1,340","['방문자리뷰 987', '블로그리뷰 317', '아메리카노 핫', '아메리카노 아이스', '카페라떼/카푸치노 핫', '카페라떼/카푸치노 아이스']",4.38
212,봉꾸라주,4.3,23,"1,914","['방문자리뷰 142', '블로그리뷰 153']",4.4
213,고요새,4.1,30,"5,244","['방문자리뷰 824', '블로그리뷰 574', '땅콩버터크림라떼', '디저트', '아메리카노', '라떼']",4.6
214,스타벅스제주삼화DT점,4.5,16,0,"['방문자리뷰 2,147', '블로그리뷰 124']",4.51
215,에이바우트커피뷰하귀포구점,4.4,66,39,"['방문자리뷰 960', '블로그리뷰 233', '아메리카노']",4.4
216,매기의추억,4.2,44,"5,236","['방문자리뷰 278', '블로그리뷰 326', '아메리카노', '샤케라또', '카페라떼', '치즈케이크']",4.41
217,카페인사리,4.7,25,"2,232","['방문자리뷰 213', '블로그리뷰 165']",4.64
218,카페동경앤책방,4.2,27,"1,314","['방문자리뷰 179', '블로그리뷰 240', '동경 샌드위치', '핸드드립커피', '카라시 샌드위치', '아메리카노']",4.61
219,김녕에사는김영훈,4.7,74,"1,844","['방문자리뷰 280', '블로그리뷰 149']",4.75
220,네이처캔버스,4.7,32,"2,038","['방문자리뷰 346', '블로그리뷰 229']",4.73
221,큐티파이카페,3.6,25,"1,949","['방문자리뷰 761', '블로그리뷰 440']",4.42
222,고미미,4.4,31,"2,198","['방문자리뷰 406', '블로그리뷰 135', '메뉴판 전체보기']",4.42
223,여섯번의보름,4.2,34,"8,057","['방문자리뷰 281', '블로그리뷰 442']",4.5
224,쉬어갓,3.9,44,"5,346","['방문자리뷰 486', '블로그리뷰 293', '카이막 (포장X)', '터키 프리미엄차', '제주스무디(한라봉&청귤)', '유기농 제주말차/호지차 라떼(HOT/ICE)']",4.63
225,노론존,4.7,27,"1,003","['방문자리뷰 159', '블로그리뷰 201', '아이스아메리카노', '아메리카노', '카페라떼', '바닐라라떼']",4.58
226,카페어떤오후,4.5,19,"4,201","['방문자리뷰 66', '블로그리뷰 323', '초코비엔나', '스콘', '핸드드립', '아인슈페너']",4.57
227,카페폴린,4.5,22,"1,246","['방문자리뷰 263', '블로그리뷰 149', '폴린스노우', '진심커피', '아메리카노', '카푸치노']",4.55
228,리듬앤브루스,4.1,48,"2,668",a,0.0
229,소라의성,4.1,31,"1,381",a,0.0
230,헤이브라더,4.0,25,"5,397","['방문자리뷰 234', '블로그리뷰 216', '한라봉주스', '아메리카노', '청귤에이드']",4.29
231,스타벅스제주서해안로DT점,4.1,61,0,a,0.0
232,카페아오오,4.4,65,"3,017","['방문자리뷰 1,513', '블로그리뷰 509', '아메리카노', '카페라떼', '카푸치노', '한라봉에이드']",4.41
233,리틀포레스트,3.9,44,"221,254",a,0.0
234,카페코지,3.7,23,"16,150","['방문자리뷰 342', '블로그리뷰 451', '에스프레소', '아메리카노', '카페라떼', '쑥식빵']",4.35
235,트라이브,4.5,72,"4,619",a,0.0
236,롱리브,4.6,28,"4,961","['방문자리뷰 108', '블로그리뷰 115', '아메리카노', '라떼']",4.56
237,카페미와,4.5,67,"2,745","['방문자리뷰 455', '블로그리뷰 286', '아메리카노', '얼그레이갸또', '자몽에이드', '소금카라멜']",4.69
238,다린,4.8,24,"10,939","['방문자리뷰 331', '블로그리뷰 117']",4.57
239,도바나,4.8,57,618,a,0.0
240,도을,4.6,19,"1,326","['방문자리뷰 261', '블로그리뷰 123', '메뉴판 전체보기']",0.0
241,60빈스,3.8,42,525,"['방문자리뷰 740', '블로그리뷰 164', '아메리카노', '에스프레소', '카페라떼', '카푸치노']",4.35
242,꼬스뗀뇨,4.5,30,"5,672","['방문자리뷰 968', '블로그리뷰 560']",0.0
243,오라디오라,4.1,39,"1,767","['방문자리뷰 335', '블로그리뷰 229']",4.41
244,트로피컬하이드어웨이브런치카페,4.2,37,19,"['방문자리뷰 76', '블로그리뷰 388', '메뉴판 전체보기']",4.49
245,스테이솔티,3.9,25,"1,674","['방문자리뷰 462', '블로그리뷰 249', '에스프레소', '아메리카노', '카페라떼', '바닐라라떼']",4.4
246,아라파파북촌점,3.9,26,241,a,0.0
